Algorithm,Avg_Encryption_us,Avg_Decryption_us,Min_Enc_us,Max_Enc_us,Min_Dec_us,Max_Dec_us
AES-128-CTR + HMAC-SHA256,20038.00,19191.40,17996,26991,17889,21682
ChaCha20 + HMAC-SHA256,32032.00,31542.40,31141,32887,31182,31914
AES-128-GCM,4273.40,4282.00,4128,4390,4097,4546
ChaCha20-Poly1305,21629.20,21576.20,21381,22237,21268,22154
