Algorithm,Avg_Encryption_us,Avg_Decryption_us,Min_Enc_us,Max_Enc_us,Min_Dec_us,Max_Dec_us
AES-128-CTR + HMAC-SHA256,1940.20,1922.00,1780,2210,1788,2270
ChaCha20 + HMAC-SHA256,3156.20,3178.20,3049,3306,3047,3468
AES-128-GCM,423.80,409.40,406,466,406,414
ChaCha20-Poly1305,2182.40,2260.60,2107,2314,2144,2343
