Algorithm,Avg_Encryption_us,Avg_Decryption_us,Min_Enc_us,Max_Enc_us,Min_Dec_us,Max_Dec_us
AES-128-CTR + HMAC-SHA256,40435.60,38595.20,35998,52528,36008,43555
ChaCha20 + HMAC-SHA256,62472.40,62447.20,61642,63422,62032,63046
AES-128-GCM,8299.20,8375.80,8156,8412,8254,8486
ChaCha20-Poly1305,42610.40,42631.20,42398,43084,42286,43477
